,URND_coop,Llama2_coop,ci_lb,ci_ub
0,0.0,0.02144444444444443,0.01691371149263311,0.02597517739625577
1,0.1,0.027777777777777762,0.021063755220953703,0.03449180033460185
2,0.2,0.031444444444444435,0.022050548086091273,0.04083834080279761
3,0.3,0.04299999999999998,0.0245559105351106,0.0614440894648894
4,0.4,0.05133333333333332,0.029370253950005427,0.07329641271666124
5,0.5,0.13255555555555554,0.09028881172325451,0.17482229938785662
6,0.6,0.25722222222222224,0.1866273715893017,0.3278170728551428
7,0.7,0.5725555555555557,0.4874136832181539,0.6576974278929573
8,0.8,0.7546666666666662,0.6755281620361471,0.8338051712971866
9,0.9,0.8966666666666668,0.840630164365093,0.9527031689682405
10,1.0,0.992111111111111,0.9902208217595587,0.9940014004626634
