,iteration,mean,ci_lb,ci_ub
0,1,0.91,0.8536268316013593,0.9663731683986407
1,2,0.03,-0.0036029176947176764,0.06360291769471768
2,3,0.6,0.5034980443508683,0.6965019556491316
3,4,0.27,0.18254718250123186,0.35745281749876817
4,5,0.45,0.3520018007729973,0.5479981992270028
5,6,0.38,0.28438673763036315,0.47561326236963686
6,7,0.51,0.41152780429899827,0.6084721957010018
7,8,0.34,0.24668704987923695,0.4333129501207631
8,9,0.46,0.3618237839156005,0.5581762160843996
9,10,0.3,0.20973068620182383,0.39026931379817614
10,11,0.48,0.38158692900904245,0.5784130709909575
11,12,0.48,0.38158692900904245,0.5784130709909575
12,13,0.35,0.2560447193355988,0.44395528066440115
13,14,0.43,0.3324781010372837,0.5275218989627163
14,15,0.32,0.22811175873564135,0.41188824126435863
15,16,0.29,0.20061623024979996,0.3793837697502
16,17,0.33,0.2373757157496829,0.4226242842503172
17,18,0.3,0.20973068620182383,0.39026931379817614
18,19,0.32,0.22811175873564135,0.41188824126435863
19,20,0.25,0.16470351595341942,0.3352964840465806
20,21,0.25,0.16470351595341942,0.3352964840465806
21,22,0.3,0.20973068620182383,0.39026931379817614
22,23,0.24,0.15587154549427823,0.32412845450572175
23,24,0.2,0.12120648315964497,0.278793516840355
24,25,0.28,0.19155449670531663,0.3684455032946834
25,26,0.18,0.10432129838504238,0.2556787016149576
26,27,0.27,0.18254718250123186,0.35745281749876817
27,28,0.25,0.16470351595341942,0.3352964840465806
28,29,0.25,0.16470351595341942,0.3352964840465806
29,30,0.24,0.15587154549427823,0.32412845450572175
30,31,0.2,0.12120648315964497,0.278793516840355
31,32,0.14,0.07164917873358315,0.20835082126641688
32,33,0.24,0.15587154549427823,0.32412845450572175
33,34,0.19,0.11272308010451249,0.2672769198954875
34,35,0.19,0.11272308010451249,0.2672769198954875
35,36,0.15,0.07966271735642734,0.22033728264357266
36,37,0.16,0.08778454896145906,0.23221545103854097
37,38,0.2,0.12120648315964497,0.278793516840355
38,39,0.21,0.12976687890441413,0.29023312109558586
39,40,0.3,0.20973068620182383,0.39026931379817614
40,41,0.15,0.07966271735642733,0.22033728264357266
41,42,0.17,0.0960064267328041,0.24399357326719592
42,43,0.3,0.20973068620182383,0.39026931379817614
43,44,0.22,0.1384001922640961,0.3015998077359039
44,45,0.18,0.10432129838504238,0.2556787016149576
45,46,0.17,0.0960064267328041,0.24399357326719592
46,47,0.21,0.12976687890441413,0.29023312109558586
47,48,0.23,0.14710281668558373,0.3128971833144163
48,49,0.19,0.11272308010451249,0.2672769198954875
49,50,0.25,0.16470351595341942,0.3352964840465806
50,51,0.14,0.07164917873358315,0.20835082126641688
51,52,0.26,0.17359616327369626,0.34640383672630376
52,53,0.23,0.14710281668558373,0.3128971833144163
53,54,0.18,0.10432129838504238,0.2556787016149576
54,55,0.3,0.20973068620182383,0.39026931379817614
55,56,0.21,0.12976687890441413,0.29023312109558586
56,57,0.23,0.14710281668558373,0.3128971833144163
57,58,0.29,0.20061623024979996,0.3793837697502
58,59,0.27,0.18254718250123186,0.35745281749876817
59,60,0.28,0.1915544967053166,0.36844550329468345
60,61,0.26,0.17359616327369629,0.3464038367263037
61,62,0.29,0.20061623024979996,0.3793837697502
62,63,0.24,0.15587154549427823,0.32412845450572175
63,64,0.31,0.2188963271346301,0.4011036728653699
64,65,0.25,0.16470351595341942,0.3352964840465806
65,66,0.24,0.15587154549427823,0.32412845450572175
66,67,0.24,0.15587154549427823,0.32412845450572175
67,68,0.26,0.17359616327369629,0.3464038367263037
68,69,0.22,0.1384001922640961,0.3015998077359039
69,70,0.3,0.20973068620182383,0.39026931379817614
70,71,0.24,0.15587154549427823,0.32412845450572175
71,72,0.29,0.20061623024979996,0.3793837697502
72,73,0.16,0.08778454896145906,0.23221545103854097
73,74,0.31,0.2188963271346301,0.4011036728653699
74,75,0.23,0.14710281668558373,0.3128971833144163
75,76,0.27,0.18254718250123186,0.35745281749876817
76,77,0.26,0.17359616327369629,0.3464038367263037
77,78,0.29,0.20061623024979996,0.3793837697502
78,79,0.22,0.1384001922640961,0.3015998077359039
79,80,0.18,0.10432129838504238,0.2556787016149576
80,81,0.21,0.12976687890441413,0.29023312109558586
81,82,0.27,0.18254718250123186,0.35745281749876817
82,83,0.21,0.12976687890441413,0.29023312109558586
83,84,0.14,0.07164917873358315,0.20835082126641688
84,85,0.27,0.18254718250123186,0.35745281749876817
85,86,0.22,0.13840019226409608,0.3015998077359039
86,87,0.17,0.0960064267328041,0.24399357326719592
87,88,0.24,0.15587154549427823,0.32412845450572175
88,89,0.25,0.16470351595341942,0.3352964840465806
89,90,0.28,0.1915544967053166,0.36844550329468345
90,91,0.13,0.06375367419218325,0.19624632580781676
91,92,0.23,0.14710281668558373,0.3128971833144163
92,93,0.21,0.12976687890441413,0.29023312109558586
93,94,0.17,0.0960064267328041,0.24399357326719592
94,95,0.2,0.12120648315964497,0.278793516840355
95,96,0.18,0.10432129838504238,0.2556787016149576
96,97,0.18,0.10432129838504238,0.2556787016149576
97,98,0.13,0.06375367419218325,0.19624632580781676
98,99,0.21,0.12976687890441413,0.29023312109558586
99,100,0.12,0.05598784431526252,0.18401215568473747
