,avg_defection
0,
1,
2,
3,
4,
5,
6,
7,0.99
8,
9,
10,
11,0.99
12,
13,0.43100000000000005
14,0.99
15,
16,0.99
17,
18,0.99
19,0.99
20,
21,0.99
22,
23,
24,
25,
26,
27,
28,
29,0.99
30,
31,
32,
33,0.99
34,
35,
36,
37,
38,
39,0.9377777777777777
40,
41,
42,
43,0.4961616161616162
44,0.99
45,
46,
47,
48,
49,0.99
50,0.5353932584269663
51,
52,0.99
53,0.99
54,
55,0.8271428571428572
56,
57,
58,
59,0.99
60,0.99
61,
62,
63,
64,
65,0.99
66,
67,
68,0.99
69,0.99
70,0.99
71,0.13736842105263158
72,0.9263636363636363
73,
74,0.99
75,0.99
76,
77,
78,
79,
80,0.7224999999999999
81,
82,0.99
83,
84,
85,0.99
86,
87,0.99
88,
89,
90,0.99
91,
92,0.99
93,
94,
95,0.99
96,
97,0.99
98,0.4120481927710844
99,
