,std_defection
0,
1,
2,
3,
4,
5,
6,
7,0.0
8,
9,
10,
11,0.0
12,
13,0.2743103039572937
14,0.0
15,
16,0.0
17,
18,0.0
19,0.0
20,
21,0.0
22,
23,
24,
25,
26,
27,
28,
29,0.0
30,
31,
32,
33,0.0
34,
35,
36,
37,
38,
39,0.0415739709641549
40,
41,
42,
43,0.28988227171728503
44,0.0
45,
46,
47,
48,
49,0.0
50,0.2696775276943098
51,
52,0.0
53,0.0
54,
55,0.09819285480468462
56,
57,
58,
59,0.0
60,0.0
61,
62,
63,
64,
65,0.0
66,
67,
68,0.0
69,0.0
70,0.0
71,0.20950674163912666
72,0.0400619355209649
73,
74,0.0
75,0.0
76,
77,
78,
79,
80,0.014790199457749054
81,
82,0.0
83,
84,
85,0.0
86,
87,0.0
88,
89,
90,0.0
91,
92,0.0
93,
94,
95,0.0
96,
97,0.0
98,0.2437693905102648
99,
